gps_timestamp,latitude,longitude,depth_timestamp,depth,sonde_timestamp,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Battery V
1583685149.96,43.4100749,-72.0367697,1583685150.02,-1.44999992847,1583685150,-0.419999986887,60.5999984741,0.98299998045,108.400001526,92.1999969482,94.0999984741,12.6800003052,1.39699995518,0.0500000007451,107.400001526,0.070000000298,70,0.560000002384,0,7,0.10000000149,2.17899990082,5.80000019073
1583685150.97,43.4100756,-72.0367711,1583685150.98,-1.30999994278,1583685151,-0.409999996424,60.5999984741,0.981000006199,108.400001526,92.1999969482,94.0999984741,12.6800003052,1.39400005341,0.0500000007451,107.400001526,0.0599999986589,70,0.560000002384,0,7,0.10000000149,2.17899990082,5.80000019073
1583685151.95,43.4100771,-72.0367697,1583685152.03,-1.27999997139,1583685152,-0.409999996424,60.5999984741,0.976000010967,108.400001526,92.1999969482,94.0999984741,12.6800003052,1.38800001144,0.0500000007451,107.400001526,0.0599999986589,70,0.560000002384,0,7,0.10000000149,2.17899990082,5.80000019073
1583685152.97,43.4100785,-72.0367693,1583685153.02,-1.05999994278,1583685153,-0.409999996424,60.5999984741,0.96899998188,108.400001526,92.1999969482,94.0999984741,12.6800003052,1.37800002098,0.0500000007451,107.400001526,0.0599999986589,70,0.560000002384,0,7,0,2.17899990082,5.80000019073
1583685153.97,43.4100806,-72.0367694,1583685153.98,-0.939999997616,1583685154,-0.419999986887,60.5999984741,0.958000004292,108.400001526,92.0999984741,94.0999984741,12.6800003052,1.36199998856,0.0500000007451,107.400001526,0.0599999986589,70,0.560000002384,0,7,0.10000000149,2.1779999733,5.80000019073
1583685154.97,43.4100839,-72.0367704,1583685155,-0.769999980927,1583685155,-0.419999986887,60.5999984741,0.944000005722,108.400001526,92.0999984741,94.0999984741,12.6800003052,1.34300005436,0.0500000007451,107.400001526,0.0500000007451,70,0.560000002384,0,7,0.10000000149,2.17600011826,5.80000019073
1583685155.99,43.4100849,-72.0367719,1583685155.95,-0.599999964237,1583685156,-0.430000007153,60.5999984741,0.0460000000894,108.400001526,92.0999984741,94.0999984741,12.6800003052,0.0649999976158,0.0500000007451,107.400001526,0.0500000007451,70,0.560000002384,0,7,0.10000000149,2.17199993134,5.80000019073
1583685156.98,43.4100868,-72.03677,1583685157.04,-0.389999985695,1583685157,-0.449999988079,60.5,-0.0590000003576,108.300003052,92.0999984741,94.0999984741,12.6700000763,-0.0839999988675,0.0500000007451,107.300003052,0.0500000007451,70,0.560000002384,0,7,0.10000000149,2.16400003433,5.80000019073
1583685157.97,43.4100893,-72.0367707,1583685158,-0.409999996424,1583685158,-0.460000008345,60.5,0.112999998033,108.300003052,92.0999984741,94,12.6700000763,0.159999996424,0.0500000007451,107.300003052,0.0599999986589,70,0.550000011921,0,7,0.10000000149,2.15400004387,5.80000019073
1583685158.96,43.4100977,-72.0367687,1583685159.03,-0.389999985695,1583685159,-0.479999989271,60.5,0.171000003815,108.300003052,92.0999984741,94,12.6800003052,0.244000002742,0.0500000007451,107.300003052,0.0599999986589,70,0.550000011921,0,7,0.10000000149,2.14599990845,5.80000019073
1583685159.98,43.410101,-72.0367626,1583685160,-0.42999997735,1583685160,-0.479999989271,60.4000015259,0.237000003457,108.300003052,92.0999984741,94,12.6800003052,0.337000012398,0.0500000007451,107.300003052,0.0500000007451,70,0.550000011921,0,7,0.10000000149,2.13899993896,5.80000019073
1583685161,43.4101041,-72.0367632,1583685160.97,-0.519999980927,1583685161,-0.490000009537,60.4000015259,0.234999999404,108.199996948,92,94,12.6800003052,0.333000004292,0.0500000007451,107.199996948,0.0599999986589,70,0.550000011921,0,7,0.10000000149,2.13400006294,5.80000019073
1583685161.99,43.4101036,-72.0367606,1583685161.97,-0.759999990463,1583685162,-0.5,60.4000015259,0.243000000715,108.199996948,92,94,12.6800003052,0.344999998808,0.0500000007451,107.199996948,0.0599999986589,70,0.550000011921,0,7,0.10000000149,2.1289999485,5.80000019073
1583685162.99,43.410108,-72.0367518,1583685163.05,-0.769999980927,1583685163,-0.509999990463,60.4000015259,0.280000001192,108.199996948,92,94,12.6800003052,0.397000014782,0.0500000007451,107.199996948,0.0500000007451,70,0.540000021458,0,7,0.10000000149,2.125,5.80000019073
1583685164,43.4101113,-72.0367551,1583685163.98,-0.879999995232,1583685164,-0.509999990463,60.2999992371,0.331000000238,108.199996948,92,94,12.6800003052,0.470999985933,0.0500000007451,107.199996948,0.0500000007451,70,0.540000021458,0,7,0.10000000149,2.12299990654,5.80000019073
1583685164.99,43.410114,-72.0367576,1583685164.96,-1.01999998093,1583685165,-0.509999990463,60.2999992371,0.389999985695,108.099998474,92,94,12.6800003052,0.554000020027,0.0500000007451,107.199996948,0.0500000007451,70,0.540000021458,0,7,0.10000000149,2.12199997902,5.80000019073
1583685165.99,43.4101139,-72.0367608,1583685166.01,-1.18999993801,1583685166,-0.509999990463,60.2999992371,0.448000013828,108.099998474,92,94,12.6800003052,0.637000024319,0.0500000007451,107.099998474,0.0500000007451,70,0.540000021458,0,7,0.10000000149,2.12400007248,5.80000019073
1583685166.99,43.4101144,-72.0367645,1583685166.97,-1.28999996185,1583685167,-0.509999990463,60.2999992371,0.513000011444,108.099998474,92,94,12.6800003052,0.728999972343,0.0500000007451,107.099998474,0.0500000007451,70,0.540000021458,0,7,0.10000000149,2.12599992752,5.80000019073
1583685167.99,43.410115,-72.036763,1583685167.96,-1.35000002384,1583685168,-0.509999990463,60.2999992371,0.56099998951,108.099998474,92,94,12.6800003052,0.797999978065,0.0500000007451,107.099998474,0.0500000007451,70,0.550000011921,0,7,0.10000000149,2.13000011444,5.80000019073
1583685168.98,43.410118,-72.0367623,1583685169.05,-1.39999997616,1583685169,-0.519999980927,60.2999992371,0.603999972343,108,92.0999984741,94,12.6899995804,0.85799998045,0.0500000007451,107,0.0399999991059,70,0.540000021458,0,7,0.10000000149,2.13599991798,5.80000019073
1583685170,43.4101206,-72.0367612,1583685169.95,-1.37999999523,1583685170,-0.519999980927,60.2999992371,0.639999985695,108,92.0999984741,94.0999984741,12.6899995804,0.910000026226,0.0500000007451,107,0.0399999991059,70,0.540000021458,0,7,0.10000000149,2.14800000191,5.80000019073
1583685170.99,43.4101238,-72.0367613,1583685171.06,-1.40999996662,1583685171,-0.519999980927,60.2999992371,0.679000020027,108,92.0999984741,94.0999984741,12.6899995804,0.964999973774,0.0500000007451,107,0.0299999993294,70,0.52999997139,0,7,0.20000000298,2.16000008583,5.80000019073
1583685171.99,43.4101244,-72.0367604,1583685172.03,-1.45999991894,1583685172,-0.509999990463,60.2999992371,0.708000004292,108,92.1999969482,94.0999984741,12.6899995804,1.00699996948,0.0500000007451,107,0.0299999993294,70,0.52999997139,0,7,0.20000000298,2.17100000381,5.80000019073
1583685173,43.4101277,-72.0367605,1583685173.04,-1.53999996185,1583685173,-0.519999980927,60.4000015259,0.737999975681,108,92.1999969482,94.0999984741,12.6899995804,1.0490000248,0.0500000007451,107,0.0299999993294,70,0.52999997139,0,7,0.20000000298,2.18000006676,5.80000019073
1583685174,43.41013,-72.0367575,1583685174.05,-1.61000001431,1583685174,-0.519999980927,60.4000015259,0.769999980927,108,92.1999969482,94.1999969482,12.6899995804,1.09399998188,0.0500000007451,107,0.0299999993294,70,0.540000021458,0,7,0.20000000298,2.18799996376,5.80000019073
1583685175.01,43.4101319,-72.0367581,1583685175.03,-1.63999998569,1583685175,-0.519999980927,60.4000015259,0.81099998951,108,92.1999969482,94.1999969482,12.6800003052,1.15299999714,0.0500000007451,107,0.0299999993294,70,0.540000021458,0,7,0.300000011921,2.19600009918,5.80000019073
1583685176,43.4101331,-72.0367589,1583685176.04,-1.75999999046,1583685176,-0.52999997139,60.4000015259,0.847000002861,108,92.1999969482,94.1999969482,12.6800003052,1.20500004292,0.0500000007451,107,0.0299999993294,70,0.540000021458,0,6.98999977112,0.300000011921,2.20199990273,5.78999996185
1583685177,43.4101352,-72.0367573,1583685176.97,-1.87000000477,1583685177,-0.519999980927,60.4000015259,1.60399997234,108,92.1999969482,94.1999969482,12.6899995804,2.27999997139,0.0500000007451,107,0.019999999553,70,0.540000021458,0,6.98999977112,0.300000011921,2.20799994469,5.78999996185
1583685177.99,43.4101364,-72.0367576,1583685178.05,-1.95999991894,1583685178,-0.519999980927,60.4000015259,1.69200003147,108,92.3000030518,94.1999969482,12.6800003052,2.40599989891,0.0500000007451,107,0.019999999553,70,0.540000021458,0,6.98999977112,0.40000000596,2.21099996567,5.78999996185
1583685179,43.4101365,-72.0367544,1583685178.95,-2.09999990463,1583685179,-0.519999980927,60.4000015259,1.76699995995,108,92.3000030518,94.1999969482,12.6800003052,2.51300001144,0.0500000007451,107,0.019999999553,70,0.550000011921,0,6.98999977112,0.40000000596,2.21300005913,5.78999996185
1583685180.03,43.4101382,-72.0367533,1583685180.04,-2.15999984741,1583685180,-0.509999990463,60.4000015259,1.85199999809,108,92.3000030518,94.1999969482,12.6800003052,2.632999897,0.0500000007451,107,0.019999999553,70,0.550000011921,0,6.98999977112,0.40000000596,2.21300005913,5.78999996185
1583685181.02,43.4101411,-72.0367539,1583685180.99,-2.14999985695,1583685181,-0.5,60.5,1.88800001144,108.099998474,92.1999969482,94.1999969482,12.6800003052,2.68400001526,0.0500000007451,107.099998474,0.019999999553,70,0.550000011921,0,6.98999977112,0.5,2.21300005913,5.78999996185
1583685182.01,43.4101441,-72.036751,1583685182.04,-2.15999984741,1583685182,-0.509999990463,60.5,1.94500005245,108.099998474,92.1999969482,94.1999969482,12.6800003052,2.76600003242,0.0500000007451,107.099998474,0.019999999553,70,0.540000021458,0,6.98999977112,0.5,2.21300005913,5.78999996185
1583685183.03,43.4101429,-72.0367499,1583685182.98,-2.31999993324,1583685183,-0.519999980927,60.5,1.99899995327,108.199996948,92.1999969482,94.1999969482,12.6800003052,2.84200000763,0.0500000007451,107.199996948,0.019999999553,70,0.550000011921,0,6.98999977112,0.5,2.21300005913,5.78999996185
1583685184.01,43.4101433,-72.0367447,1583685183.95,-2.50999999046,1583685184,-0.519999980927,60.5999984741,2.04699993134,108.300003052,92.1999969482,94.1999969482,12.6700000763,2.91000008583,0.0500000007451,107.199996948,0.019999999553,70,0.550000011921,0,6.98999977112,0.600000023842,2.21199989319,5.78999996185
1583685185.01,43.4101461,-72.0367463,1583685184.98,-2.46000003815,1583685185,-0.519999980927,60.5999984741,2.08299994469,108.300003052,92.1999969482,94.0999984741,12.6700000763,2.96199989319,0.0500000007451,107.300003052,0.019999999553,70,0.550000011921,0,6.98999977112,0.600000023842,2.21099996567,5.78999996185
1583685186.02,43.4101477,-72.0367469,1583685185.95,-2.34999990463,1583685186,-0.519999980927,60.7000007629,2.10299992561,108.400001526,92.1999969482,94.0999984741,12.6700000763,2.99000000954,0.0500000007451,107.400001526,0.019999999553,70,0.550000011921,0,6.98999977112,0.600000023842,2.21000003815,5.80000019073
1583685187.02,43.410145,-72.0367432,1583685186.96,-2.5,1583685187,-0.52999997139,60.7000007629,2.11800003052,108.599998474,92.0999984741,94.0999984741,12.6700000763,3.01099991798,0.0500000007451,107.5,0.0299999993294,70,0.550000011921,0,6.98999977112,0.699999988079,2.20900011063,5.80000019073
1583685188.01,43.4101444,-72.0367442,1583685187.98,-2.63999986649,1583685188,-0.540000021458,60.7999992371,2.13199996948,108.699996948,92.0999984741,94.0999984741,12.6700000763,3.03200006485,0.0500000007451,107.699996948,0.0299999993294,70,0.560000002384,0,6.98999977112,0.699999988079,2.20700001717,5.80000019073
1583685189.03,43.4101439,-72.0367439,1583685189.05,-2.67999982834,1583685189,-0.52999997139,60.9000015259,2.15300011635,108.900001526,92.0999984741,94.0999984741,12.6599998474,3.06200003624,0.0500000007451,107.800003052,0.0299999993294,70,0.560000002384,0,6.98999977112,0.699999988079,2.20600008965,5.80000019073
1583685190.02,43.4101432,-72.0367422,1583685189.99,-2.80999994278,1583685190,-0.540000021458,61,2.18600010872,109,92.0999984741,94.0999984741,12.6599998474,3.10800004005,0.0500000007451,108,0.0299999993294,70,0.550000011921,0,6.98999977112,0.800000011921,2.20399999619,5.80000019073
1583685191.04,43.4101429,-72.0367411,1583685190.95,-2.9399998188,1583685191,-0.540000021458,61.0999984741,2.23000001907,109.199996948,92.0999984741,94,12.6599998474,3.17100000381,0.0500000007451,108.199996948,0.0399999991059,70,0.560000002384,0,6.98000001907,0.800000011921,2.20300006866,5.80000019073
1583685192.03,43.4101431,-72.0367417,1583685191.99,-3,1583685192,-0.52999997139,61.2000007629,2.27600002289,109.400001526,92.0999984741,94,12.6599998474,3.23600006104,0.0500000007451,108.300003052,0.0500000007451,70,0.569999992847,0,6.98000001907,0.899999976158,2.20199990273,5.80000019073
1583685193.02,43.410143,-72.0367381,1583685193.06,-3.01999998093,1583685193,-0.519999980927,61.2999992371,2.32100009918,109.5,92.0999984741,94,12.6599998474,3.29999995232,0.0500000007451,108.5,0.0500000007451,71,0.560000002384,0,6.98000001907,0.899999976158,2.20000004768,5.80000019073
